angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"[229, 152, 207, 256]",0.0,0.18,0.11,0.25,0.09,0.31
0.05,"[230, 152, 206, 256]",0.0,0.2,0.12,0.28,0.1,0.26
0.05,"[229, 152, 207, 256]",0.0,0.2,0.12,0.24,0.1,0.29
0.03,"[226, 162, 207, 252]",0.0,0.12,0.08,0.31,0.36,0.09
0.02,"[218, 164, 213, 261]",0.0,0.02,0.04,0.8,0.12,0.01
0.01,"[218, 164, 215, 263]",0.0,0.02,0.02,0.8,0.13,0.01
0.01,"[219, 165, 214, 262]",0.0,0.01,0.02,0.84,0.1,0.01
0.02,"[228, 157, 209, 258]",0.0,0.04,0.01,0.8,0.07,0.05
0.02,"[227, 157, 209, 256]",0.0,0.03,0.02,0.85,0.05,0.04
0.02,"[224, 159, 209, 255]",0.0,0.04,0.01,0.85,0.05,0.03
0.01,"[219, 157, 215, 264]",0.0,0.02,0.02,0.9,0.03,0.01
0.01,"[218, 157, 216, 266]",0.0,0.02,0.01,0.92,0.03,0.02
0.01,"[219, 157, 214, 265]",0.0,0.02,0.02,0.91,0.03,0.01
0.02,"[222, 164, 206, 251]",0.0,0.05,0.14,0.48,0.25,0.06
0.02,"[221, 164, 207, 251]",0.0,0.07,0.17,0.42,0.23,0.1
0.01,"[216, 166, 219, 268]",0.0,0.04,0.12,0.67,0.14,0.03
0.01,"[216, 166, 218, 268]",0.0,0.04,0.11,0.67,0.13,0.03
0.01,"[216, 165, 219, 269]",0.0,0.04,0.07,0.72,0.15,0.02
0.01,"[216, 165, 219, 269]",0.0,0.04,0.06,0.73,0.15,0.02
0.01,"[214, 156, 212, 263]",0.0,0.04,0.17,0.68,0.09,0.02
0.01,"[214, 157, 212, 262]",0.0,0.04,0.15,0.67,0.1,0.02
0.01,"[215, 157, 213, 261]",0.0,0.05,0.22,0.64,0.07,0.02
